KeyLastWriteTime,Path,Key
2018-01-14 08:54:50.291500,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\2M75I7LN,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0\0\0\1\0 @ 0x0
2018-02-24 10:07:53.693630,\{My Computer}\D:\\BoB\박상호멘토님\츄츌,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5 @ 0x0
2018-02-04 07:41:20.547297,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\새 폴더,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2 @ 0x0
2018-02-04 07:41:20.547297,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\LNK,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2 @ 0x0
2018-02-04 07:41:20.562912,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\LNK\Program Files,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2\1 @ 0x0
2018-02-04 07:41:20.547297,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\Windows,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2 @ 0x0
2018-02-04 07:41:06.936459,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\Windows\winsxs,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2\2 @ 0x0
2018-02-04 07:41:06.936459,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\Windows\System32,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2\2 @ 0x0
2018-02-04 07:41:20.547297,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\Program Files,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2 @ 0x0
2018-02-04 07:41:10.374325,\{My Computer}\D:\\BoB\박상호멘토님\츄츌\Program Files\Microsoft Games,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\2\3 @ 0x0
